(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B015G9UX9C,B015G9UX9C,Teenage Mutant Ninja Turtles 4 Felt Eye Masks,tmnteyemaskset,"4,160",49,2.67%,2.75%,"5,665",77,2.83%,3.26%,96.82%,98.70%,312,8,7.50%,16.33%,"$4,974.52",$125.72,255,5
B016X4YE6W,B016X4YE6W,Fight Soap Salesman Red Sunglasses,fightclubglasses001,"1,736",2,1.12%,0.11%,"2,671",3,1.33%,0.13%,83.49%,100.00%,92,1,5.30%,50.00%,"$1,651.40",$17.95,91,1
B0054KMWQG,B0054KMWQG,Caddyshack Bushwood Country Club Red Baseball Cap Hat,caddyshackhat001,357,6,0.23%,0.34%,475,9,0.24%,0.38%,98.32%,100.00%,72,8,20.17%,133.33%,"$1,271.65",$140.80,54,2
B09JT5NT8K,B09JT5NT8K,Soap Loofah Bubbles Adult Costume Set Cosplay,SoapLoofahCostume,459,2,0.30%,0.11%,662,4,0.33%,0.17%,98.49%,100.00%,47,0,10.24%,0.00%,"$2,065.65",$0.00,46,0
B0099U0LZ6,B0099U0LZ6,Sons of Anarchy SOA Reaper Crew Fitted Baseball Cap Hat (Adult Large/X-Large) Black,soahat005-L/XL,691,10,0.44%,0.56%,903,12,0.45%,0.51%,95.68%,100.00%,48,7,6.95%,70.00%,"$1,050.59",$150.64,42,2
B09YT1P55X,B09YT1P55X,Costume Agent Cheeseburger Backpack Universe Hamburger Daypack One Size,CheeseburgerBackPack,833,7,0.54%,0.39%,"1,173",11,0.59%,0.47%,85.17%,90.91%,40,0,4.80%,0.00%,"$1,816.00",$0.00,40,0
B08HSKFR18,B08HSKFR18,Costume Agent Peephole Picture Frame Tv Show Sitcom Yellow Door Frame,PeepholeFrame,540,5,0.35%,0.28%,683,7,0.34%,0.30%,97.95%,100.00%,38,0,7.04%,0.00%,$582.10,$0.00,37,0
B07CMXY86F,B0046BHE8U,TV Store Superhero Costume Felt Eye Masks Assorted Colors (Red),tmntmasks-Red,840,14,0.54%,0.79%,"1,104",28,0.55%,1.18%,98.36%,100.00%,35,0,4.17%,0.00%,$138.25,$0.00,35,0
B07BMD7NCZ,B07BMD7NCZ,Michael's Secret Stuff Office TV Show Halloween Cosplay Costume Prop Accessory,SecretStuffWaterBottle,"1,096",16,0.70%,0.90%,"1,336",20,0.67%,0.85%,96.71%,100.00%,38,1,3.47%,6.25%,$719.91,$18.76,33,1
B005Y4I6VW,B005Y4I6VW,Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,fearloathingglasses,395,7,0.25%,0.39%,536,9,0.27%,0.38%,98.51%,66.67%,33,0,8.35%,0.00%,$460.35,$0.00,32,0
