(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B01LBRL76Q,B01LBRLB2G,Caribbean Pirate Black Costume Boots (Large 12-13),100576BLACK-L,334,5,0.21%,0.28%,438,11,0.22%,0.47%,97.90%,100.00%,29,2,8.68%,40.00%,"$2,201.03",$150.38,29,2
B07CMXY86F,B0046BL756,Superhero Costume Felt Eye Masks Assorted Colors (Blue),tmntmasks-Blue,367,6,0.24%,0.34%,480,7,0.24%,0.30%,95.88%,100.00%,33,1,8.99%,16.67%,$130.31,$3.91,27,1
B01LBRL76Q,B01LBRLGPS,Caribbean Pirate Black Costume Boots (Medium 10-11),100576BLACK-M,357,5,0.23%,0.28%,435,6,0.22%,0.25%,99.23%,80.00%,28,1,7.84%,20.00%,"$2,125.84",$75.19,27,1
B07CMXY86F,B0046BL74W,TV Store Superhero Costume Felt Eye Masks Assorted Colors (Orange),tmntmasks-Orange,232,5,0.15%,0.28%,328,7,0.16%,0.30%,97.08%,100.00%,26,0,11.21%,0.00%,$102.70,$0.00,26,0
B09542LZPC,B00FBPL6CK,"Ripple Junction Average Joes Dodgeball Costume 2 Pcs - Adult Yellow Jersey from Dodgeball Movie | Halloween Costume for Men & Women | Cosplay, Roleplay, Comic Con & Halloween Sports Costume",dodgeball003-L,237,4,0.15%,0.22%,326,6,0.16%,0.25%,98.69%,100.00%,28,0,11.81%,0.00%,"$1,309.72",$0.00,25,0
B016X4YD3G,B016X4YD3G,Scarface Tony Montana Black Gradiant Sunglasses,scarfaceglasses001,448,2,0.29%,0.11%,641,3,0.32%,0.13%,89.39%,100.00%,31,0,6.92%,0.00%,$494.45,$0.00,25,0
B07RJYX1Y6,B07RJYX1Y6,"Concept One Disney's Pixar Up Wilderness Explorer Cotton Adjustable Baseball Hat with Curved Brim, Yellow, One Size",EMUP2001TV-UpHat,693,5,0.45%,0.28%,937,8,0.47%,0.34%,42.80%,37.50%,29,0,4.18%,0.00%,$611.55,$0.00,25,0
B0BPV8H5PW,B0BPTR7ZF9,Costume Agent Spider Purple Pink Superhero Ghost Pajama Zip Up Jumpsuit with Hood (5/6),220965-GhostSpiderOnesie-5-6,527,5,0.34%,0.28%,658,5,0.33%,0.21%,98.13%,75.00%,25,0,4.74%,0.00%,$823.75,$0.00,25,0
B009AWAOQ4,B009AWAOQ4,SOA Sons of Anarchy Reaper Crew Fitted Baseball Cap Hat (Adult Small/Medium) Black,soahat005-S/M,765,5,0.49%,0.28%,"1,072",5,0.53%,0.21%,96.83%,100.00%,25,0,3.27%,0.00%,$498.75,$0.00,24,0
B014Q6VNV8,B014Q6VNV8,Ripple Junction Caddyshack Movie Carl Spackler Character Camo Golf Bucket Hat,caddyshackhat003,298,6,0.19%,0.34%,391,9,0.20%,0.38%,98.98%,100.00%,39,0,13.09%,0.00%,$700.05,$0.00,24,0
B09J1H1SWW,B09J1H1SWW,Mad Engine Simpsons Character All Over Backpack One Size Multicolor,99MUL-SimpsonsBackpack,427,2,0.27%,0.11%,608,2,0.30%,0.08%,98.52%,100.00%,23,0,5.39%,0.00%,"$1,125.85",$0.00,23,0
B00XLQUJ06,B00XLQUJ06,TMNT Teenage Mutant Ninja Turtles Multi Character Snack Container,tmntsnack001,737,13,0.47%,0.73%,952,14,0.47%,0.59%,98.11%,92.86%,22,0,2.99%,0.00%,$152.90,$0.00,22,0
B07C5D48QB,B015L2QT56,Macho Man Star Printed Costume Bandana (Red),machomanbandana-Red,136,1,0.09%,0.06%,194,1,0.10%,0.04%,97.33%,100.00%,22,0,16.18%,0.00%,$284.90,$0.00,22,0
B07CRL3XFJ,B000HQAXJK,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: X-Large",hulk003-XL,139,2,0.09%,0.11%,171,2,0.09%,0.08%,97.59%,100.00%,21,0,15.11%,0.00%,$502.95,$0.00,21,0
B07BTW25WY,B0039VQGT6,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (X-Large),btlc004-XL,119,0,0.08%,0.00%,144,0,0.07%,0.00%,93.08%,0.00%,20,0,16.81%,0.00%,$459.00,$0.00,20,0
B07CMXY86F,B0046BEKLE,Superhero Costume Felt Eye Masks Assorted Colors (Purple),tmntmasks-Purple,178,5,0.11%,0.28%,248,8,0.12%,0.34%,99.57%,100.00%,21,0,11.80%,0.00%,$82.95,$0.00,20,0
B00NMSZ3XG,B00NMSZ3XG,Anchorman Sex Panther Cologne 1.7 oz with Panther Bottle,sexpanthercologne003,387,2,0.25%,0.11%,474,2,0.24%,0.08%,97.26%,100.00%,20,0,5.17%,0.00%,$879.00,$0.00,20,0
B07XLVBQM4,B07XLVBQM4,The Queen of Music Studded Belt and Armband Adult Halloween Costume Accessory Cosplay,100980-TheQueenMusicBeltArmband,191,4,0.12%,0.22%,263,13,0.13%,0.55%,87.45%,92.31%,21,2,10.99%,50.00%,$628.35,$59.30,20,2
B09KS5M1P8,B09345RR9J,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, x_s, Regular, Michelangelo)",TMNTShirt-Youth-Mike-XS,414,3,0.27%,0.17%,575,3,0.29%,0.13%,98.93%,100.00%,20,0,4.83%,0.00%,$399.00,$0.00,20,0
B0041E5DF8,B0041E5DF8,The Hangover Alan Man Purse Satchel Bag,hangoversatchel,318,0,0.20%,0.00%,420,0,0.21%,0.00%,98.57%,0.00%,20,0,6.29%,0.00%,$799.80,$0.00,19,0
B07CKXLQW7,B01JGYNHFK,"COSTUME AGENT Big Lebowski Costume Pajama - Sweater Pajama Pants from The Dude Costume Big Lebowski | Men Pajama for Halloween Costume, Cosplay, Comic Con, Everyday Use &amp; Themed Birthday Party",biglpants001-XL,118,1,0.08%,0.06%,147,1,0.07%,0.04%,100.00%,100.00%,20,0,16.95%,0.00%,$679.00,$0.00,19,0
B07CRL3XFJ,B000HQ6Q3C,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: Large",hulk003-L,194,1,0.12%,0.06%,249,1,0.12%,0.04%,97.99%,100.00%,18,0,9.28%,0.00%,$431.10,$0.00,18,0
B001OV92PS,B001OV92PS,Adult Unisex MASH TV Show Medi-Vac Logo Olive Green Adjustable Baseball Hat,mashhat002,135,2,0.09%,0.11%,191,5,0.10%,0.21%,89.01%,100.00%,19,0,14.07%,0.00%,$423.05,$0.00,18,0
B09JL8BRXY,B09JL92Q72,Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (8),QF009BBSTV-BlueyPajamas-8,843,7,0.54%,0.39%,"1,003",7,0.50%,0.30%,92.02%,85.71%,18,0,2.14%,0.00%,$539.10,$0.00,18,0
B01LBRL76Q,B01LBRLA6S,Caribbean Pirate Brown Costume Boots (Large 12-13),100576BROWN-L,156,4,0.10%,0.22%,195,6,0.10%,0.25%,97.35%,40.00%,17,0,10.90%,0.00%,"$1,291.15",$0.00,17,0
B01M0USEIQ,B01M0USEIQ,Wayne's World Blow Up Guitar Music Costume Prop,blowupguitar,215,6,0.14%,0.34%,283,8,0.14%,0.34%,97.17%,62.50%,17,1,7.91%,16.67%,$287.98,$16.78,17,1
B09BRTSWCD,B09BRTSWCD,"Changes Yellowstone Dutton Ranch Y Logo Established 1886 Kevin stner Belt Buckle 66-57, Silver",6695057-yellowstoneBeltBuckle,292,2,0.19%,0.11%,408,2,0.20%,0.08%,93.14%,100.00%,18,0,6.16%,0.00%,$431.10,$0.00,17,0
B09FJ3J485,B09FJ2Y36Z,Crew Mate Astronaut Among Space Halloween Costume Inflatable Chub Suit,220859-CrewMate-Red-STD,"1,199",5,0.77%,0.28%,"1,588",5,0.79%,0.21%,96.98%,75.00%,17,0,1.42%,0.00%,$407.15,$0.00,17,0
B09KS5M1P8,B0B72DPVB2,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, s, Regular, Michelangelo)",TMNTShirt-Youth-Mike-S,194,0,0.12%,0.00%,269,0,0.13%,0.00%,99.18%,0.00%,17,0,8.76%,0.00%,$339.15,$0.00,17,0
B07BTW25WY,B0039VWOLA,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (Large),btlc004-L,155,2,0.10%,0.11%,199,2,0.10%,0.08%,96.86%,100.00%,16,1,10.32%,50.00%,$366.97,$22.72,16,1
B003SXGN7K,B003SXGN7K,Community Troy and Abed Mug,communitymug,161,2,0.10%,0.11%,218,3,0.11%,0.13%,92.66%,100.00%,17,0,10.56%,0.00%,$339.15,$0.00,16,0
B012EEA55Y,B012EEENJS,German Alpine Bavarian Oktoberfest Grey Costume Hat with Feather (Grey),germanhat001-grey,102,0,0.07%,0.00%,162,0,0.08%,0.00%,94.23%,0.00%,22,0,21.57%,0.00%,$240.90,$0.00,16,0
B01LBRL76Q,B01LBRLEX2,Caribbean Pirate Black Costume Boots (X-Large 14),100576BLACK-XL,211,12,0.14%,0.67%,264,13,0.13%,0.55%,97.32%,100.00%,18,4,8.53%,33.33%,"$1,364.06",$300.76,16,3
B01LBRL76Q,B01LBRLFSQ,Caribbean Pirate Black Costume Boots (Small 8-9),100576BLACK-S,682,9,0.44%,0.51%,870,11,0.43%,0.47%,99.51%,100.00%,16,0,2.35%,0.00%,"$1,215.20",$0.00,16,0
B07YNZVV7G,B07YNZVV7G,Costume Agent Adult Unisex Bret Hitman Hart Wrestler Replica Wrap Around Halloween Sunglasses,BretHitmanSunglasses,548,2,0.35%,0.11%,696,4,0.35%,0.17%,97.70%,100.00%,18,0,3.28%,0.00%,$413.10,$0.00,16,0
B09KS5M1P8,B0933PQFMK,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, m, Regular, Donatello)",TMNTShirt-Youth-Donatello-M,162,2,0.10%,0.11%,227,2,0.11%,0.08%,98.14%,100.00%,16,0,9.88%,0.00%,$319.20,$0.00,16,0
B09KS5M1P8,B0934F1DB6,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, x_s, Regular, Raphael)",TMNTShirt-Youth-Raphael-XS,388,7,0.25%,0.39%,541,12,0.27%,0.51%,97.18%,100.00%,16,0,4.12%,0.00%,$319.20,$0.00,16,0
B0BPV8H5PW,B0BPTLD8CX,Costume Agent Spider Purple Pink Superhero Ghost Pajama Zip Up Jumpsuit with Hood (7/8),220965-GhostSpiderOnesie-7-8,191,0,0.12%,0.00%,235,0,0.12%,0.00%,96.90%,0.00%,16,0,8.38%,0.00%,$527.20,$0.00,16,0
B0044M7KWQ,B0044M7KWQ,The Hangover Alan Movie Costume Sunglasses Glasses Replica,hangoverglasses,176,1,0.11%,0.06%,234,1,0.12%,0.04%,98.29%,100.00%,16,0,9.09%,0.00%,$271.84,$0.00,15,0
B008YOLRDS,B008YOLRDS,Serenity Firefly Jayne Ear Flap Knit Adult Hat Beanie,serenityhat001,225,4,0.14%,0.22%,280,5,0.14%,0.21%,96.07%,100.00%,15,0,6.67%,0.00%,$329.25,$0.00,15,0
B00K34OI06,B00K34OI06,Progressive Flo Costume Set Standard White,flocostume001,917,9,0.59%,0.51%,"1,123",9,0.56%,0.38%,98.40%,100.00%,15,1,1.64%,11.11%,$673.80,$44.50,15,1
B01LBRL76Q,B01LBRLC0W,Caribbean Pirate Brown Costume Boots (Medium 10-11),100576BROWN-M,486,5,0.31%,0.28%,626,5,0.31%,0.21%,99.07%,100.00%,15,0,3.09%,0.00%,"$1,139.25",$0.00,15,0
B07HPD9V7Q,B07HPD9V7Q,Unisex Ultimate Warrior Wrestler Halloween Cosplay Costume Wristband & Armbands,ultimatewarriorbandSet,163,3,0.10%,0.17%,204,3,0.10%,0.13%,98.53%,100.00%,15,0,9.20%,0.00%,$224.25,$0.00,15,0
B0887M6B4H,B0887TD8ZM,Hollywood Champion Adult White T-Shirt,3001-White-ChampionShirt-L,123,0,0.08%,0.00%,146,0,0.07%,0.00%,97.22%,0.00%,15,0,12.20%,0.00%,$344.25,$0.00,15,0
B08LQMJN5L,B08LQMBGYK,"Power Rangers Pink Costume T-Shirt(Pink,Large)",PowerRangers-Pink-SLShirt-L,222,7,0.14%,0.39%,289,9,0.14%,0.38%,48.30%,60.00%,15,1,6.76%,14.29%,$299.05,$19.75,15,1
B09KS5M1P8,B0B72BKG2W,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, m, Regular, Michelangelo)",TMNTShirt-Youth-Mike-M,146,0,0.09%,0.00%,194,0,0.10%,0.00%,96.15%,0.00%,16,0,10.96%,0.00%,$319.20,$0.00,15,0
B0BGMZRRYL,B0BGMZRRYL,Hangover Baby Carlos Doll Carrier and Glasses Halloween Costume Cosplay Accessory Multicolor,103015-BabyCarlosDollGlasses,239,3,0.15%,0.17%,327,3,0.16%,0.13%,94.80%,66.67%,15,0,6.28%,0.00%,$509.25,$0.00,15,0
B07CRL3XFJ,B000HQ6Q28,"Hulk Hogan ""Hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: Medium",hulk003-M,115,1,0.07%,0.06%,143,2,0.07%,0.08%,94.96%,0.00%,14,0,12.17%,0.00%,$335.30,$0.00,14,0
B09542LZPC,B00FBPL5K8,"Ripple Junction Average Joes Dodgeball Costume 2 Pcs - Adult Yellow Jersey from Dodgeball Movie | Halloween Costume for Men & Women | Cosplay, Roleplay, Comic Con & Halloween Sports Costume",dodgeball003-M,134,2,0.09%,0.11%,181,3,0.09%,0.13%,96.43%,100.00%,16,4,11.94%,200.00%,$721.72,$176.84,14,2
B01JSH2B0C,B01JSFMZF0,Suicide Squad Harley Quinn Daddy's Little Monster Women's Top with Rips (X-Large) White/Red,suicidesquad003-XL,494,7,0.32%,0.39%,697,13,0.35%,0.55%,97.06%,100.00%,14,0,2.83%,0.00%,$391.30,$0.00,14,0
B09BXCJ37S,B09BXCJ37S,"Costume Agent Russell Cosplay UP Deluxe Halloween Costume For Men’s & Women’s | Complete Set with Hat, Hanker-chief, Sash & Flag - Perfect For Cosplays Events, Halloween & Themed Parties.",220839-SashFlag,479,6,0.31%,0.34%,641,7,0.32%,0.30%,95.32%,100.00%,14,0,2.92%,0.00%,$951.30,$0.00,14,0
B09JL8BRXY,B09JL84BJ1,American Marketing Ent Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (3T),QF009BBSTV-BlueyPajamas-3T,693,3,0.45%,0.17%,812,4,0.40%,0.17%,98.35%,100.00%,14,0,2.02%,0.00%,$391.30,$0.00,14,0
B002STMH70,B002STMH70,Saved by the Bell AC Slater Costume Wig,acwig,148,0,0.10%,0.00%,196,0,0.10%,0.00%,96.94%,0.00%,13,0,8.78%,0.00%,$220.35,$0.00,13,0
B07BTW25WY,B0039VUMJG,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (Medium),btlc004-M,269,3,0.17%,0.17%,336,4,0.17%,0.17%,98.17%,100.00%,13,0,4.83%,0.00%,$298.35,$0.00,13,0
B0046Q4VJA,B0046Q4VJA,Red Wrestling Kilt Skirt,piperskirt,227,7,0.15%,0.39%,280,9,0.14%,0.38%,98.21%,100.00%,13,0,5.73%,0.00%,$272.35,$0.00,13,0
B09RQ4KQPB,B00OPISZQE,RIC Flair Nature Boy Costume Robe and Wig Yellow,ricflare001-yellow,350,4,0.23%,0.22%,468,6,0.23%,0.25%,95.94%,100.00%,18,0,5.14%,0.00%,$809.10,$0.00,13,0
B07BTFD7NQ,B07BTFD7NQ,Hulk Hogan Hulkamania Red Feather Boa,redboa001N,93,0,0.06%,0.00%,108,0,0.05%,0.00%,99.07%,0.00%,13,0,13.98%,0.00%,$129.87,$0.00,13,0
B07FDL126R,B07FDL126R,Retro 80s Aerobics Instructor Deluxe Wig and Headband Costume Set,RetroWigHeadband-1191,166,3,0.11%,0.17%,248,5,0.12%,0.21%,97.58%,100.00%,13,1,7.83%,33.33%,$337.09,$25.69,13,1
B07HHHWTBS,B07HHHWTBS,Christmas Vacation Cousin Eddie White Robe and Belt Costume Set,CousinEddieWhiteRobe-220703,332,2,0.21%,0.11%,453,2,0.23%,0.08%,99.56%,100.00%,14,0,4.22%,0.00%,$615.86,$0.00,13,0
B09KS5M1P8,B0B72DBSFN,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, l, Regular, Raphael)",TMNTShirt-Youth-Raphael-L,102,0,0.07%,0.00%,134,0,0.07%,0.00%,95.08%,0.00%,13,0,12.75%,0.00%,$259.35,$0.00,13,0
B0BBHDTHX5,B0BBHWN6VD,Ninja Super Hero Turtle Eye Mask Halloween Costume Cosplay (Purple),103013-TmntEyeMask-Purple,207,4,0.13%,0.22%,268,4,0.13%,0.17%,99.25%,100.00%,13,1,6.28%,25.00%,$77.29,$5.89,13,1
B07CSCKQPZ,B000BBABA2,"Sanford and Son ""Buy and Sell Junk"" T-shirt Grey",sanford064-XL,61,0,0.04%,0.00%,81,0,0.04%,0.00%,95.89%,0.00%,12,0,19.67%,0.00%,$227.40,$0.00,12,0
B07CRL3XFJ,B000HQ6Q4Q,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: XX-Large",hulk003-XXL,107,1,0.07%,0.06%,133,1,0.07%,0.04%,99.21%,100.00%,12,0,11.21%,0.00%,$299.40,$0.00,12,0
B00KBB18IG,B001L6FYWG,The Simpsons Duff Beer Mens Red Adjustable Snap Back Hat,simpsonsduffhat,444,4,0.29%,0.22%,537,4,0.27%,0.17%,98.32%,100.00%,12,0,2.70%,0.00%,$282.00,$0.00,12,0
B002EAURCK,B002EAURCK,House M.D. Oversized Tennis Ball,houseball,143,3,0.09%,0.17%,202,3,0.10%,0.13%,69.31%,100.00%,12,0,8.39%,0.00%,$239.40,$0.00,12,0
B009KMCL6K,B005EHIUP6,Futurama Faded Planet Express Black T-Shirt (M),Futurama003-M,185,2,0.12%,0.11%,227,2,0.11%,0.08%,98.62%,100.00%,12,0,6.49%,0.00%,$248.40,$0.00,12,0
B009KMCL6K,B005EHIUWE,"T-Shirt - Futurama - Planet Express, Black, X-Large",Futurama003-XL,119,1,0.08%,0.06%,147,1,0.07%,0.04%,97.83%,100.00%,12,1,10.08%,100.00%,$248.17,$22.72,12,1
B07CKFHYJT,B00BJQKHJI,Step Brothers Pablo Cruise Adult Gray and Maroon Raglan T-Shirt (Adult XX-Large),stepbros010-XXL,140,1,0.09%,0.06%,171,2,0.09%,0.08%,99.39%,100.00%,12,0,8.57%,0.00%,$299.40,$0.00,12,0
B07BV15X7N,B00FZ3LPUQ,Power Rangers Pink Baby Ranger Costume Romper Onesie (0-6 Months),powerrangers018pink-0/6,112,0,0.07%,0.00%,144,0,0.07%,0.00%,98.84%,0.00%,13,0,11.61%,0.00%,$259.35,$0.00,12,0
B07YZTT6F3,B00U0IHLE0,Ripple Junction The Big Lebowski Team Dude Bowling Gold Button-Down Shirt Costume (Adult X-Large),bigldudecostume001-XL,179,0,0.12%,0.00%,213,0,0.11%,0.00%,97.07%,0.00%,12,0,6.70%,0.00%,$479.40,$0.00,12,0
B07FK33CZ5,B07FK2LT7J,NWO New World Order Red Ink Adult Black T-Shirt (X-Large),nwo003-XL,97,1,0.06%,0.06%,122,1,0.06%,0.04%,98.31%,100.00%,13,0,13.40%,0.00%,$285.35,$0.00,12,0
B0887M6B4H,B0887NK9KK,Hollywood Champion Adult White T-Shirt,3001-White-ChampionShirt-XL,43,0,0.03%,0.00%,48,0,0.02%,0.00%,89.74%,0.00%,12,0,27.91%,0.00%,$275.40,$0.00,12,0
B00MEDQ1XQ,B09GL5NX9P,"Costume Agent A League of Their Own Costume 3 Pcs - Rockford Peaches Costume AAGPBL with Red Hat & Belt | Baseball Dress for Comic Con, Cosplay, Themed Birthday Party & Halloween Costumes for Women",leagueoftheirowncostume-FBA-L/XL,458,12,0.29%,0.67%,581,13,0.29%,0.55%,97.86%,91.67%,13,0,2.84%,0.00%,$766.87,$0.00,12,0
B09HWLGYZC,B09HW99L3M,Golf Rainbow Cardigan Sweater Caddy Halloween Costume Cosplay,204092-RainbowCardigan-L,30,0,0.02%,0.00%,51,0,0.03%,0.00%,95.65%,0.00%,12,0,40.00%,0.00%,$647.40,$0.00,12,0
B09JL8BRXY,B09JLB2BXK,American Marketing Ent Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (4) Blue,QF009BBSTV-BlueyPajamas-4,637,4,0.41%,0.22%,739,4,0.37%,0.17%,97.62%,100.00%,12,0,1.88%,0.00%,$335.40,$0.00,12,0
B0B4F8PR2W,B0B4F8PR2W,Christmas Vacation Cousin Eddie White Robe Belt and Trapper Faux Hat Costume Set,CousinEdRobe-Hat-SET,179,1,0.12%,0.06%,231,1,0.12%,0.04%,100.00%,100.00%,13,0,7.26%,0.00%,$805.35,$0.00,12,0
B0BF6PFKLT,B0BF6PFKLT,Ghost Ghoul Hunter Gloves and Belt Set Buster Halloween Costume,220941-GhostbustersGlovesBeltSet,273,1,0.18%,0.06%,369,1,0.18%,0.04%,96.48%,100.00%,15,0,5.49%,0.00%,$524.25,$0.00,12,0
B0BGMDXHGL,B0BGMCSGLJ,"Bel Air Prince Green Shirt, Shorts and Hat Halloween Costume Cosplay",220901-FreshPrinceCostume-L,120,0,0.08%,0.00%,159,0,0.08%,0.00%,92.57%,0.00%,12,0,10.00%,0.00%,$587.88,$0.00,12,0
B07CBSCYDF,B000YY2NFM,Peanuts Charlie Brown Costume T-Shirt,Peanuts001-L,114,1,0.07%,0.06%,154,2,0.08%,0.08%,97.26%,100.00%,11,0,9.65%,0.00%,$241.45,$0.00,11,0
B075LLWNXF,B003VVH2GK,Plumtree Scott Pilgrim Band Logo Gold T-Shirt Tee (Medium),plumtree001-M,134,0,0.09%,0.00%,169,0,0.08%,0.00%,97.26%,0.00%,11,0,8.21%,0.00%,$274.45,$0.00,11,0
B009Q73R1M,B009Q73R1M,Caddyshack Bushwood Country Club Golf White Baseball Hat,caddyshackhat002,299,5,0.19%,0.28%,408,5,0.20%,0.21%,21.08%,20.00%,24,14,8.03%,280.00%,$525.18,$295.68,11,1
B015TM9GTE,B015TM9GTE,Joy Inside Out Blue Costume Wig,insideoutjoywig,100,3,0.06%,0.17%,135,4,0.07%,0.17%,92.59%,100.00%,11,1,11.00%,33.33%,$208.26,$18.76,11,1
B07FK33CZ5,B07FK2Q72P,NWO New World Order Red Ink Adult Black T-Shirt (XX-Large),nwo003-XXL,55,2,0.04%,0.11%,67,2,0.03%,0.08%,100.00%,100.00%,14,0,25.45%,0.00%,$307.30,$0.00,11,0
B08JZGFKGH,B07GK2B88J,"Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Raphael,Large)",tmnt016-Raph-Mens-L,791,12,0.51%,0.67%,"1,053",16,0.53%,0.68%,26.36%,0.00%,11,0,1.39%,0.00%,$219.45,$0.00,11,0
B09KS5M1P8,B0934326MZ,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, s, Regular, Donatello)",TMNTShirt-Youth-Donatello-S,161,1,0.10%,0.06%,214,1,0.11%,0.04%,94.30%,0.00%,11,0,6.83%,0.00%,$219.45,$0.00,11,0
B000H6PAGG,B000H6PAGG,X-Men Z69 BELT BUCKLE,RO-ARWZ-IIN8,242,2,0.16%,0.11%,323,2,0.16%,0.08%,96.28%,100.00%,11,0,4.55%,0.00%,$219.45,$0.00,10,0
B07CKXLQW7,B01JGYNNYU,"COSTUME AGENT Big Lebowski Costume Pajama - Sweater Pajama Pants from The Dude Costume Big Lebowski | Men Pajama for Halloween Costume, Cosplay, Comic Con, Everyday Use &amp; Themed Birthday Party",biglpants001-L,190,2,0.12%,0.11%,250,4,0.12%,0.17%,98.31%,100.00%,10,0,5.26%,0.00%,$339.50,$0.00,10,0
B01LBRL76Q,B01LBRLDX8,Caribbean Pirate Brown Costume Boots (X-Large 14),100576BROWN-XL,237,4,0.15%,0.22%,279,4,0.14%,0.17%,99.60%,100.00%,10,0,4.22%,0.00%,$759.50,$0.00,10,0
