(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B015G9UX9C,B015G9UX9C,Teenage Mutant Ninja Turtles 4 Felt Eye Masks,tmnteyemaskset,"2,908",35,3.35%,3.58%,"3,974",55,3.53%,4.16%,96.35%,98.18%,203,7,6.98%,20.00%,"$3,236.13",$109.93,155,4
B016X4YE6W,B016X4YE6W,Fight Soap Salesman Red Sunglasses,fightclubglasses001,"1,061",2,1.22%,0.20%,"1,608",3,1.43%,0.23%,84.45%,100.00%,62,1,5.84%,50.00%,"$1,112.90",$17.95,62,1
B09YT1P55X,B09YT1P55X,Costume Agent Cheeseburger Backpack Universe Hamburger Daypack One Size,CheeseburgerBackPack,491,4,0.57%,0.41%,720,8,0.64%,0.61%,77.50%,100.00%,32,0,6.52%,0.00%,"$1,472.40",$0.00,32,0
B0054KMWQG,B0054KMWQG,Caddyshack Bushwood Country Club Red Baseball Cap Hat,caddyshackhat001,211,4,0.24%,0.41%,278,6,0.25%,0.45%,98.92%,100.00%,42,8,19.91%,200.00%,$733.15,$140.80,31,2
B0099U0LZ6,B0099U0LZ6,Sons of Anarchy SOA Reaper Crew Fitted Baseball Cap Hat (Adult Large/X-Large) Black,soahat005-L/XL,447,7,0.52%,0.72%,587,9,0.52%,0.68%,94.89%,100.00%,29,7,6.49%,100.00%,$633.54,$150.64,24,2
B07CMXY86F,B0046BHE8U,TV Store Superhero Costume Felt Eye Masks Assorted Colors (Red),tmntmasks-Red,587,9,0.68%,0.92%,768,19,0.68%,1.44%,97.91%,100.00%,21,0,3.58%,0.00%,$82.95,$0.00,21,0
B08HSKFR18,B08HSKFR18,Costume Agent Peephole Picture Frame Tv Show Sitcom Yellow Door Frame,PeepholeFrame,322,4,0.37%,0.41%,419,6,0.37%,0.45%,97.14%,100.00%,21,0,6.52%,0.00%,$334.95,$0.00,21,0
B005Y4I6VW,B005Y4I6VW,Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,fearloathingglasses,238,6,0.27%,0.61%,326,8,0.29%,0.61%,97.55%,62.50%,21,0,8.82%,0.00%,$292.95,$0.00,20,0
B016X4YD3G,B016X4YD3G,Scarface Tony Montana Black Gradiant Sunglasses,scarfaceglasses001,237,0,0.27%,0.00%,337,0,0.30%,0.00%,90.50%,0.00%,24,0,10.13%,0.00%,$382.80,$0.00,20,0
B09JT5NT8K,B09JT5NT8K,Soap Loofah Bubbles Adult Costume Set Cosplay,SoapLoofahCostume,269,1,0.31%,0.10%,356,3,0.32%,0.23%,97.47%,100.00%,21,0,7.81%,0.00%,$922.95,$0.00,20,0
B09JL8BRXY,B09JL92Q72,Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (8),QF009BBSTV-BlueyPajamas-8,843,7,0.97%,0.72%,"1,003",7,0.89%,0.53%,92.02%,85.71%,18,0,2.14%,0.00%,$539.10,$0.00,18,0
B07CMXY86F,B0046BL74W,TV Store Superhero Costume Felt Eye Masks Assorted Colors (Orange),tmntmasks-Orange,153,5,0.18%,0.51%,198,7,0.18%,0.53%,95.16%,100.00%,17,0,11.11%,0.00%,$67.15,$0.00,17,0
B00NMSZ3XG,B00NMSZ3XG,Anchorman Sex Panther Cologne 1.7 oz with Panther Bottle,sexpanthercologne003,327,1,0.38%,0.10%,398,1,0.35%,0.08%,96.98%,100.00%,17,0,5.20%,0.00%,$747.15,$0.00,17,0
