(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00KLKH5E8,B00KFHDR6M,SNL Saturday Night Live Ace Costume Sublimation Adult T-Shirt (Adult Medium) White,snl023ace-M,5,0,0.00%,0.00%,5,0,0.00%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,$29.95,$0.00,1,0
B07BVSRBQN,B00KI1UW6S,Greatest American Hero Long Sleeve Adult Red T-Shirt (Adult Large),great004-L,8,0,0.00%,0.00%,10,0,0.00%,0.00%,100.00%,0.00%,1,0,12.50%,0.00%,$22.95,$0.00,1,0
B071D61VZR,B00KWEE2UI,Costume Agent Tommy Boy Callahan Auto Parts White T-Shirt Tee (Adult XXX-Large),tommyboy002-XXXL,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$19.95,$0.00,1,0
B07CP1RSLL,B00L2MKS3E,Teenage Mutant Ninja Turtles Michelangelo Pizza Delivery Work Shirt (Adult Small) Light Green,tmnt067-S,17,0,0.01%,0.00%,22,0,0.01%,0.00%,90.91%,0.00%,1,0,5.88%,0.00%,$39.00,$0.00,1,0
B07CP1RSLL,B00L2ML612,Teenage Mutant Ninja Turtles Michelangelo Pizza Delivery Work Shirt (Adult Medium) Light Green,tmnt067-M,2,0,0.00%,0.00%,2,0,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,$29.95,$0.00,1,0
B00L8FDHTM,B00L8FDHTM,Breaking Bad A1A Car Wash The Best Adjustable Cap,breakingbadhat002,40,1,0.01%,0.03%,52,1,0.01%,0.02%,94.23%,100.00%,1,0,2.50%,0.00%,$8.95,$0.00,1,0
B071Y1QB36,B00M9JDSWW,Teenage Mutant Ninja Turtles Raphael Costume Skater Dress (Juniors Medium),tmntskater001raph-M,49,0,0.02%,0.00%,77,0,0.02%,0.00%,100.00%,0.00%,1,0,2.04%,0.00%,$34.95,$0.00,1,0
B07CJ64PB9,B00MNRTRMU,Napoleon Dynamite Physical Education Adult Powder Blue T-Shirt (Adult Large),nap006-L,40,0,0.01%,0.00%,41,0,0.01%,0.00%,100.00%,0.00%,1,0,2.50%,0.00%,$19.95,$0.00,1,0
B07BMKJK67,B00MNRTT64,Disney Maleficent Inverse Juniors Black Tank Top (Juniors X-Large),disney011-XL,4,0,0.00%,0.00%,9,0,0.00%,0.00%,100.00%,0.00%,1,0,25.00%,0.00%,$17.95,$0.00,1,0
B00N24Q7Y4,B00N24Q5HS,Junk Food Star Wars Pass The Mic Adult Silver T-Shirt (Adult X-Large),junk061-XL,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,$16.95,$0.00,1,0
B00N34N94E,B00N34NT94,USA American Flag Stars and Stripes Mens Boardshorts Swim Shorts (Adult Large),usaboardshorts003-L,39,0,0.01%,0.00%,43,0,0.01%,0.00%,95.00%,0.00%,1,0,2.56%,0.00%,$9.95,$0.00,1,0
B07C87QPG7,B00NMSZ6K6,Mermaid Tail Pink Fin Costume (XXL),mermaidfin001PINK-XXL,62,0,0.02%,0.00%,69,0,0.02%,0.00%,93.94%,0.00%,1,0,1.61%,0.00%,$19.95,$0.00,1,0
