(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B07CRL3XFJ,B000HQAXJK,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: X-Large",hulk003-XL,182,2,0.08%,0.08%,228,2,0.08%,0.06%,98.18%,100.00%,26,0,14.29%,0.00%,$622.70,$0.00,26,0
B0041E5DF8,B0041E5DF8,The Hangover Alan Man Purse Satchel Bag,hangoversatchel,457,4,0.20%,0.16%,587,4,0.20%,0.12%,98.47%,100.00%,26,0,5.69%,0.00%,"$1,039.74",$0.00,25,0
B08JZGFKGH,B07GK2B88J,"Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Raphael,Large)",tmnt016-Raph-Mens-L,903,13,0.40%,0.51%,"1,207",17,0.41%,0.50%,33.57%,0.00%,25,0,2.77%,0.00%,$498.75,$0.00,25,0
B07YNZVV7G,B07YNZVV7G,Costume Agent Adult Unisex Bret Hitman Hart Wrestler Replica Wrap Around Halloween Sunglasses,BretHitmanSunglasses,791,3,0.35%,0.12%,999,5,0.34%,0.15%,97.90%,100.00%,31,0,3.92%,0.00%,$711.45,$0.00,25,0
B01LBRL76Q,B01LBRLFSQ,Caribbean Pirate Black Costume Boots (Small 8-9),100576BLACK-S,932,15,0.41%,0.59%,"1,235",17,0.42%,0.50%,99.67%,100.00%,24,0,2.58%,0.00%,"$1,822.80",$0.00,24,0
B09KS5M1P8,B0B72DPVB2,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, s, Regular, Michelangelo)",TMNTShirt-Youth-Mike-S,278,0,0.12%,0.00%,390,0,0.13%,0.00%,99.17%,0.00%,24,0,8.63%,0.00%,$478.80,$0.00,24,0
B00KBB18IG,B001L6FYWG,The Simpsons Duff Beer Mens Red Adjustable Snap Back Hat,simpsonsduffhat,649,6,0.29%,0.24%,811,6,0.28%,0.18%,98.40%,100.00%,24,0,3.70%,0.00%,$564.00,$0.00,23,0
B00K34OI06,B00K34OI06,Progressive Flo Costume Set Standard White,flocostume001,"1,324",11,0.58%,0.43%,"1,654",12,0.57%,0.35%,98.91%,100.00%,24,1,1.81%,9.09%,"$1,078.35",$44.50,23,1
B09FJ3J485,B09FJ2Y36Z,Crew Mate Astronaut Among Space Halloween Costume Inflatable Chub Suit,220859-CrewMate-Red-STD,"1,508",6,0.66%,0.24%,"1,987",6,0.68%,0.18%,97.58%,80.00%,23,0,1.53%,0.00%,$550.85,$0.00,23,0
B0BPV8H5PW,B0BPTLD8CX,Costume Agent Spider Purple Pink Superhero Ghost Pajama Zip Up Jumpsuit with Hood (7/8),220965-GhostSpiderOnesie-7-8,256,0,0.11%,0.00%,318,0,0.11%,0.00%,97.38%,0.00%,23,0,8.98%,0.00%,$757.85,$0.00,23,0
B002STMH70,B002STMH70,Saved by the Bell AC Slater Costume Wig,acwig,209,0,0.09%,0.00%,269,0,0.09%,0.00%,97.77%,0.00%,22,0,10.53%,0.00%,$372.90,$0.00,22,0
B01JSH2B0C,B01JSFMZF0,Suicide Squad Harley Quinn Daddy's Little Monster Women's Top with Rips (X-Large) White/Red,suicidesquad003-XL,657,12,0.29%,0.47%,906,19,0.31%,0.56%,97.52%,100.00%,22,0,3.35%,0.00%,$618.90,$0.00,22,0
B09BRTSWCD,B09BRTSWCD,"Changes Yellowstone Dutton Ranch Y Logo Established 1886 Kevin stner Belt Buckle 66-57, Silver",6695057-yellowstoneBeltBuckle,409,3,0.18%,0.12%,566,3,0.19%,0.09%,93.82%,100.00%,23,0,5.62%,0.00%,$550.85,$0.00,22,0
B09BXCJ37S,B09BXCJ37S,"Costume Agent Russell Cosplay UP Deluxe Halloween Costume For Men’s & Women’s | Complete Set with Hat, Hanker-chief, Sash & Flag - Perfect For Cosplays Events, Halloween & Themed Parties.",220839-SashFlag,705,9,0.31%,0.36%,965,10,0.33%,0.29%,96.06%,100.00%,22,0,3.12%,0.00%,"$1,494.90",$0.00,22,0
B0BGMZRRYL,B0BGMZRRYL,Hangover Baby Carlos Doll Carrier and Glasses Halloween Costume Cosplay Accessory Multicolor,103015-BabyCarlosDollGlasses,388,6,0.17%,0.24%,507,6,0.17%,0.18%,96.25%,83.33%,22,0,5.67%,0.00%,$746.90,$0.00,22,0
B07CRL3XFJ,B000HQ6Q28,"Hulk Hogan ""Hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: Medium",hulk003-M,155,1,0.07%,0.04%,192,2,0.07%,0.06%,95.70%,0.00%,21,0,13.55%,0.00%,$502.95,$0.00,21,0
B0044M7KWQ,B0044M7KWQ,The Hangover Alan Movie Costume Sunglasses Glasses Replica,hangoverglasses,243,2,0.11%,0.08%,325,2,0.11%,0.06%,98.15%,100.00%,22,0,9.05%,0.00%,$373.78,$0.00,21,0
B09RQ4KQPB,B00OPISZQE,RIC Flair Nature Boy Costume Robe and Wig Yellow,ricflare001-yellow,495,6,0.22%,0.24%,653,9,0.22%,0.27%,95.87%,100.00%,26,1,5.25%,16.67%,"$1,168.25",$44.50,21,1
B01LBRL76Q,B01LBRLA6S,Caribbean Pirate Brown Costume Boots (Large 12-13),100576BROWN-L,183,4,0.08%,0.16%,233,6,0.08%,0.18%,94.22%,40.00%,21,0,11.48%,0.00%,"$1,594.95",$0.00,21,0
B07HPD9V7Q,B07HPD9V7Q,Unisex Ultimate Warrior Wrestler Halloween Cosplay Costume Wristband & Armbands,ultimatewarriorbandSet,232,4,0.10%,0.16%,301,4,0.10%,0.12%,98.67%,100.00%,21,0,9.05%,0.00%,$313.95,$0.00,21,0
B07BTW25WY,B0039VUMJG,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (Medium),btlc004-M,410,6,0.18%,0.24%,512,8,0.18%,0.24%,98.40%,100.00%,20,0,4.88%,0.00%,$459.00,$0.00,20,0
B00NMSZ3XG,B00NMSZ3XG,Anchorman Sex Panther Cologne 1.7 oz with Panther Bottle,sexpanthercologne003,387,2,0.17%,0.08%,474,2,0.16%,0.06%,97.26%,100.00%,20,0,5.17%,0.00%,$879.00,$0.00,20,0
B07HHHWTBS,B07HHHWTBS,Christmas Vacation Cousin Eddie White Robe and Belt Costume Set,CousinEddieWhiteRobe-220703,493,3,0.22%,0.12%,695,3,0.24%,0.09%,99.71%,100.00%,21,0,4.26%,0.00%,$923.79,$0.00,20,0
B09KS5M1P8,B0B72BKG2W,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, m, Regular, Michelangelo)",TMNTShirt-Youth-Mike-M,207,1,0.09%,0.04%,275,2,0.09%,0.06%,95.63%,100.00%,21,0,10.14%,0.00%,$418.95,$0.00,20,0
B07BTFD7NQ,B07BTFD7NQ,Hulk Hogan Hulkamania Red Feather Boa,redboa001N,126,0,0.06%,0.00%,142,0,0.05%,0.00%,97.89%,0.00%,19,0,15.08%,0.00%,$189.81,$0.00,19,0
B0887M6B4H,B0887TD8ZM,Hollywood Champion Adult White T-Shirt,3001-White-ChampionShirt-L,166,0,0.07%,0.00%,199,0,0.07%,0.00%,97.96%,0.00%,19,0,11.45%,0.00%,$436.05,$0.00,19,0
B0B4F8PR2W,B0B4F8PR2W,Christmas Vacation Cousin Eddie White Robe Belt and Trapper Faux Hat Costume Set,CousinEdRobe-Hat-SET,249,2,0.11%,0.08%,340,2,0.12%,0.06%,100.00%,100.00%,20,0,8.03%,0.00%,"$1,239.00",$0.00,19,0
B002EAURCK,B002EAURCK,House M.D. Oversized Tennis Ball,houseball,216,3,0.10%,0.12%,323,3,0.11%,0.09%,69.35%,100.00%,18,0,8.33%,0.00%,$359.10,$0.00,18,0
B008YOLRDS,B008YOLRDS,Serenity Firefly Jayne Ear Flap Knit Adult Hat Beanie,serenityhat001,289,7,0.13%,0.28%,362,9,0.12%,0.27%,96.13%,100.00%,18,0,6.23%,0.00%,$395.10,$0.00,18,0
B01LBRL76Q,B01LBRLEX2,Caribbean Pirate Black Costume Boots (X-Large 14),100576BLACK-XL,289,12,0.13%,0.47%,368,13,0.13%,0.38%,98.14%,100.00%,20,4,6.92%,33.33%,"$1,515.96",$300.76,18,3
B08JZGFKGH,B07GJWVGTD,"Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Leonardo,Large)",tmnt016-Leo-Mens-L,"1,269",18,0.56%,0.71%,"1,789",29,0.61%,0.85%,19.10%,10.00%,21,0,1.65%,0.00%,$418.95,$0.00,18,0
B08JZGFKGH,B07GJXTJFL,"Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Michelangelo,Large)",tmnt016-Mike-Mens-L,926,9,0.41%,0.36%,"1,210",15,0.41%,0.44%,26.51%,0.00%,18,0,1.94%,0.00%,$359.10,$0.00,18,0
B08LQMJN5L,B08LQMBGYK,"Power Rangers Pink Costume T-Shirt(Pink,Large)",PowerRangers-Pink-SLShirt-L,296,7,0.13%,0.28%,397,9,0.14%,0.27%,49.04%,60.00%,19,1,6.42%,14.29%,$378.85,$19.75,18,1
B09KS5M1P8,B0933PQFMK,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, m, Regular, Donatello)",TMNTShirt-Youth-Donatello-M,220,2,0.10%,0.08%,301,2,0.10%,0.06%,98.59%,100.00%,18,0,8.18%,0.00%,$359.10,$0.00,18,0
B09JL8BRXY,B09JL84BJ1,American Marketing Ent Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (3T),QF009BBSTV-BlueyPajamas-3T,807,4,0.36%,0.16%,942,6,0.32%,0.18%,98.24%,100.00%,18,0,2.23%,0.00%,$503.10,$0.00,18,0
B09JL8BRXY,B09JL92Q72,Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (8),QF009BBSTV-BlueyPajamas-8,843,7,0.37%,0.28%,"1,003",7,0.34%,0.21%,92.02%,85.71%,18,0,2.14%,0.00%,$539.10,$0.00,18,0
B07CRL3XFJ,B000HQ6Q4Q,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: XX-Large",hulk003-XXL,150,1,0.07%,0.04%,192,1,0.07%,0.03%,97.84%,100.00%,17,0,11.33%,0.00%,$424.15,$0.00,17,0
B009Q73R1M,B009Q73R1M,Caddyshack Bushwood Country Club Golf White Baseball Hat,caddyshackhat002,437,7,0.19%,0.28%,632,7,0.22%,0.21%,20.25%,14.29%,33,14,7.55%,200.00%,$731.73,$295.68,17,1
B012EEA55Y,B012EEENJS,German Alpine Bavarian Oktoberfest Grey Costume Hat with Feather (Grey),germanhat001-grey,129,0,0.06%,0.00%,201,0,0.07%,0.00%,94.30%,0.00%,23,0,17.83%,0.00%,$254.55,$0.00,17,0
B08JZGFKGH,B07GJXVPS9,"Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Donatello,Large)",tmnt016-Don-Mens-L,779,14,0.34%,0.55%,992,18,0.34%,0.53%,23.61%,18.18%,17,1,2.18%,7.14%,$338.95,$19.75,17,1
B0887M6B4H,B0887NK9KK,Hollywood Champion Adult White T-Shirt,3001-White-ChampionShirt-XL,54,0,0.02%,0.00%,61,0,0.02%,0.00%,91.84%,0.00%,18,0,33.33%,0.00%,$413.10,$0.00,17,0
B09KS5M1P8,B0934326MZ,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, s, Regular, Donatello)",TMNTShirt-Youth-Donatello-S,234,1,0.10%,0.04%,300,1,0.10%,0.03%,95.65%,0.00%,17,0,7.26%,0.00%,$339.15,$0.00,17,0
B09KS5M1P8,B0B72CH4FY,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, s, Regular, Raphael)",TMNTShirt-Youth-Raphael-S,143,1,0.06%,0.04%,191,2,0.07%,0.06%,96.07%,100.00%,17,0,11.89%,0.00%,$339.15,$0.00,17,0
B0BF6PFKLT,B0BF6PFKLT,Ghost Ghoul Hunter Gloves and Belt Set Buster Halloween Costume,220941-GhostbustersGlovesBeltSet,369,1,0.16%,0.04%,508,1,0.17%,0.03%,97.44%,100.00%,20,1,5.42%,100.00%,$699.00,$34.95,17,1
B07CSCKQPZ,B000BBABA2,"Sanford and Son ""Buy and Sell Junk"" T-shirt Grey",sanford064-XL,93,0,0.04%,0.00%,125,0,0.04%,0.00%,97.39%,0.00%,16,0,17.20%,0.00%,$303.20,$0.00,16,0
B07BTW25WY,B0039VOALM,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (XX-Large),btlc004-XXL,103,2,0.05%,0.08%,129,2,0.04%,0.06%,97.39%,100.00%,16,0,15.53%,0.00%,$367.20,$0.00,16,0
B07CKFHYJT,B00BJQKHJI,Step Brothers Pablo Cruise Adult Gray and Maroon Raglan T-Shirt (Adult XX-Large),stepbros010-XXL,213,1,0.09%,0.04%,249,2,0.09%,0.06%,99.17%,100.00%,16,0,7.51%,0.00%,$399.20,$0.00,16,0
B01LBRL76Q,B01LBRLC0W,Caribbean Pirate Brown Costume Boots (Medium 10-11),100576BROWN-M,617,6,0.27%,0.24%,794,6,0.27%,0.18%,99.26%,100.00%,16,0,2.59%,0.00%,"$1,215.20",$0.00,16,0
B07FDL126R,B07FDL126R,Retro 80s Aerobics Instructor Deluxe Wig and Headband Costume Set,RetroWigHeadband-1191,223,6,0.10%,0.24%,345,13,0.12%,0.38%,96.52%,84.62%,16,1,7.17%,16.67%,$414.94,$25.69,16,1
B07FK33CZ5,B07FK2LT7J,NWO New World Order Red Ink Adult Black T-Shirt (X-Large),nwo003-XL,117,2,0.05%,0.08%,144,2,0.05%,0.06%,97.86%,100.00%,17,1,14.53%,50.00%,$372.93,$21.73,16,1
B07XYDVKMS,B07XYDVKMS,Viking Furry Blue Hat Helmet Adult Halloween Costume Accessory,100600-BlueVikingHelmet,144,4,0.06%,0.16%,181,5,0.06%,0.15%,97.79%,100.00%,23,0,15.97%,0.00%,$504.85,$0.00,16,0
B09JL8BRXY,B09JLB2BXK,American Marketing Ent Bluey Ready for Adventure Boys Halloween Costume Pajamas Cosplay (4) Blue,QF009BBSTV-BlueyPajamas-4,778,5,0.34%,0.20%,899,5,0.31%,0.15%,98.02%,100.00%,17,0,2.19%,0.00%,$475.15,$0.00,16,0
B0BKTG5GTZ,B0BKTGQBXZ,Kool Aid Trek Day Tie Dye T-Shirt for Mens and Womens Multicolor,HEKA00ZMSC-KoolAidShirt-L,551,5,0.24%,0.20%,668,5,0.23%,0.15%,98.49%,100.00%,19,0,3.45%,0.00%,$190.00,$0.00,16,0
B0046Q4VJA,B0046Q4VJA,Red Wrestling Kilt Skirt,piperskirt,348,11,0.15%,0.43%,449,14,0.15%,0.41%,98.89%,100.00%,15,0,4.31%,0.00%,$314.25,$0.00,15,0
B009KMCL6K,B005EHIUP6,Futurama Faded Planet Express Black T-Shirt (M),Futurama003-M,212,2,0.09%,0.08%,260,2,0.09%,0.06%,98.79%,100.00%,15,0,7.08%,0.00%,$308.25,$0.00,15,0
B07CKFHYJT,B00BJQKB9E,Step Brothers Pablo Cruise Adult Gray and Maroon Raglan T-Shirt (Medium),stepbros010-M,88,3,0.04%,0.12%,95,3,0.03%,0.09%,97.73%,100.00%,16,1,18.18%,33.33%,$398.95,$24.70,15,1
B07YZTT6F3,B00U0IHLE0,Ripple Junction The Big Lebowski Team Dude Bowling Gold Button-Down Shirt Costume (Adult X-Large),bigldudecostume001-XL,284,1,0.13%,0.04%,361,2,0.12%,0.06%,98.30%,100.00%,15,0,5.28%,0.00%,$599.25,$0.00,15,0
B07BNVPY2K,B01JSFN2Y8,DC Comics Suicide Squad Harley Quinn DELUXE Sequins Panty (Small) Red/Blue,suicidesquad004-FBA-S,458,7,0.20%,0.28%,665,20,0.23%,0.59%,98.76%,100.00%,15,0,3.28%,0.00%,$434.25,$0.00,15,0
B08JZGFKGH,B07GJXT6MP,"Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Raphael,X-Large)",tmnt016-Raph-Mens-XL,853,10,0.38%,0.39%,"1,093",15,0.37%,0.44%,23.08%,20.00%,15,1,1.76%,10.00%,$299.05,$19.75,15,1
B08JZGFKGH,B07GK9B91K,"Teenage Mutant Ninja Turtles TMNT Mens Costume T-Shirt(Donatello,Medium)",tmnt016-Don-Mens-M,747,12,0.33%,0.47%,966,20,0.33%,0.59%,20.36%,14.29%,15,0,2.01%,0.00%,$299.25,$0.00,15,0
B09KS5M1P8,B0B72DBSFN,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, l, Regular, Raphael)",TMNTShirt-Youth-Raphael-L,167,0,0.07%,0.00%,209,0,0.07%,0.00%,95.70%,0.00%,15,0,8.98%,0.00%,$299.25,$0.00,15,0
B07CKDD29N,B0019CEOXC,Rocky Balboa Apollo Movie Boxing American Flag Shorts (Large) Multicolor,ApolloShorts-L,325,1,0.14%,0.04%,427,1,0.15%,0.03%,99.26%,0.00%,14,0,4.31%,0.00%,$280.30,$0.00,14,0
B075LLWNXF,B003VVH2GK,Plumtree Scott Pilgrim Band Logo Gold T-Shirt Tee (Medium),plumtree001-M,151,0,0.07%,0.00%,194,0,0.07%,0.00%,97.62%,0.00%,14,0,9.27%,0.00%,$349.30,$0.00,14,0
B07CKFHYJT,B00BJQKC16,Step Brothers Pablo Cruise Adult Gray and Maroon Raglan T-Shirt (Adult Large),stepbros010-L,100,2,0.04%,0.08%,118,2,0.04%,0.06%,98.17%,100.00%,14,0,14.00%,0.00%,$349.30,$0.00,14,0
