(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B015G9UX9C,B015G9UX9C,Teenage Mutant Ninja Turtles 4 Felt Eye Masks,tmnteyemaskset,"4,878",60,2.15%,2.37%,"6,600",95,2.26%,2.80%,96.92%,98.95%,370,10,7.59%,16.67%,"$5,899.30",$157.30,299,7
B016X4YE6W,B016X4YE6W,Fight Soap Salesman Red Sunglasses,fightclubglasses001,"2,785",3,1.23%,0.12%,"4,239",4,1.45%,0.12%,85.02%,100.00%,136,1,4.88%,33.33%,"$2,441.20",$17.95,135,1
B0054KMWQG,B0054KMWQG,Caddyshack Bushwood Country Club Red Baseball Cap Hat,caddyshackhat001,515,7,0.23%,0.28%,680,10,0.23%,0.29%,98.68%,100.00%,103,8,20.00%,114.29%,"$1,828.10",$140.80,84,2
B09JT5NT8K,B09JT5NT8K,Soap Loofah Bubbles Adult Costume Set Cosplay,SoapLoofahCostume,641,2,0.28%,0.08%,934,4,0.32%,0.12%,98.93%,100.00%,70,0,10.92%,0.00%,"$3,044.50",$0.00,69,0
B08HSKFR18,B08HSKFR18,Costume Agent Peephole Picture Frame Tv Show Sitcom Yellow Door Frame,PeepholeFrame,766,7,0.34%,0.28%,969,10,0.33%,0.29%,98.35%,100.00%,65,0,8.49%,0.00%,$958.75,$0.00,57,0
B09YT1P55X,B09YT1P55X,Costume Agent Cheeseburger Backpack Universe Hamburger Daypack One Size,CheeseburgerBackPack,"1,190",7,0.52%,0.28%,"1,677",11,0.57%,0.32%,89.09%,90.91%,56,0,4.71%,0.00%,"$2,503.20",$0.00,56,0
B07BMD7NCZ,B07BMD7NCZ,Michael's Secret Stuff Office TV Show Halloween Cosplay Costume Prop Accessory,SecretStuffWaterBottle,"1,698",20,0.75%,0.79%,"2,086",24,0.71%,0.71%,96.74%,100.00%,59,1,3.47%,5.00%,"$1,117.86",$18.76,54,1
B0099U0LZ6,B0099U0LZ6,Sons of Anarchy SOA Reaper Crew Fitted Baseball Cap Hat (Adult Large/X-Large) Black,soahat005-L/XL,980,11,0.43%,0.43%,"1,286",14,0.44%,0.41%,95.49%,100.00%,57,7,5.82%,63.64%,"$1,248.14",$150.64,51,2
B07CMXY86F,B0046BHE8U,TV Store Superhero Costume Felt Eye Masks Assorted Colors (Red),tmntmasks-Red,937,17,0.41%,0.67%,"1,232",31,0.42%,0.91%,98.44%,100.00%,46,0,4.91%,0.00%,$181.70,$0.00,44,0
B014Q6VNV8,B014Q6VNV8,Ripple Junction Caddyshack Movie Carl Spackler Character Camo Golf Bucket Hat,caddyshackhat003,421,6,0.19%,0.24%,557,9,0.19%,0.27%,99.28%,100.00%,59,0,14.01%,0.00%,"$1,059.05",$0.00,42,0
B0BPV8H5PW,B0BPTR7ZF9,Costume Agent Spider Purple Pink Superhero Ghost Pajama Zip Up Jumpsuit with Hood (5/6),220965-GhostSpiderOnesie-5-6,729,6,0.32%,0.24%,897,6,0.31%,0.18%,98.63%,80.00%,42,0,5.76%,0.00%,"$1,383.90",$0.00,42,0
B005Y4I6VW,B005Y4I6VW,Fear and Loathing in Las Vegas Hunter S. Thompson Costume Sunglasses - Classic Large Metal Frame Sun Glasses for Adult,fearloathingglasses,564,11,0.25%,0.43%,763,16,0.26%,0.47%,98.95%,81.25%,44,0,7.80%,0.00%,$613.80,$0.00,40,0
B07RJYX1Y6,B07RJYX1Y6,"Concept One Disney's Pixar Up Wilderness Explorer Cotton Adjustable Baseball Hat with Curved Brim, Yellow, One Size",EMUP2001TV-UpHat,952,7,0.42%,0.28%,"1,310",11,0.45%,0.32%,52.67%,54.55%,44,0,4.62%,0.00%,$925.80,$0.00,39,0
B009AWAOQ4,B009AWAOQ4,SOA Sons of Anarchy Reaper Crew Fitted Baseball Cap Hat (Adult Small/Medium) Black,soahat005-S/M,"1,078",8,0.47%,0.32%,"1,483",8,0.51%,0.24%,96.97%,100.00%,40,0,3.71%,0.00%,$798.00,$0.00,38,0
B01LBRL76Q,B01LBRLB2G,Caribbean Pirate Black Costume Boots (Large 12-13),100576BLACK-L,434,6,0.19%,0.24%,566,12,0.19%,0.35%,98.36%,100.00%,38,2,8.76%,33.33%,"$2,884.58",$150.38,38,2
B01LBRL76Q,B01LBRLGPS,Caribbean Pirate Black Costume Boots (Medium 10-11),100576BLACK-M,448,10,0.20%,0.39%,549,13,0.19%,0.38%,99.37%,91.67%,35,1,7.81%,10.00%,"$2,657.49",$75.19,34,1
B07BTW25WY,B0039VQGT6,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (X-Large),btlc004-XL,185,2,0.08%,0.08%,234,2,0.08%,0.06%,95.77%,100.00%,33,0,17.84%,0.00%,$757.35,$0.00,33,0
B07CMXY86F,B0046BL756,Superhero Costume Felt Eye Masks Assorted Colors (Blue),tmntmasks-Blue,427,8,0.19%,0.32%,553,11,0.19%,0.32%,96.05%,100.00%,40,1,9.37%,12.50%,$157.96,$3.91,33,1
B016X4YD3G,B016X4YD3G,Scarface Tony Montana Black Gradiant Sunglasses,scarfaceglasses001,640,3,0.28%,0.12%,910,4,0.31%,0.12%,89.45%,75.00%,39,0,6.09%,0.00%,$622.05,$0.00,33,0
B07CMXY86F,B0046BL74W,TV Store Superhero Costume Felt Eye Masks Assorted Colors (Orange),tmntmasks-Orange,259,5,0.11%,0.20%,363,7,0.12%,0.21%,96.49%,100.00%,36,0,13.90%,0.00%,$142.20,$0.00,32,0
B01M0USEIQ,B01M0USEIQ,Wayne's World Blow Up Guitar Music Costume Prop,blowupguitar,308,11,0.14%,0.43%,409,13,0.14%,0.38%,97.56%,69.23%,35,1,11.36%,9.09%,$593.08,$16.78,31,1
B07CRL3XFJ,B000HQ6Q3C,"Hulk Hogan ""hulkamania"" Sleeveless T-shirt Gold [Apparel] Size: Large",hulk003-L,269,2,0.12%,0.08%,347,2,0.12%,0.06%,97.98%,100.00%,30,0,11.15%,0.00%,$718.50,$0.00,30,0
B001OV92PS,B001OV92PS,Adult Unisex MASH TV Show Medi-Vac Logo Olive Green Adjustable Baseball Hat,mashhat002,196,3,0.09%,0.12%,278,6,0.10%,0.18%,91.73%,100.00%,31,0,15.82%,0.00%,$686.45,$0.00,30,0
B09542LZPC,B00FBPL6CK,"Ripple Junction Average Joes Dodgeball Costume 2 Pcs - Adult Yellow Jersey from Dodgeball Movie | Halloween Costume for Men & Women | Cosplay, Roleplay, Comic Con & Halloween Sports Costume",dodgeball003-L,297,4,0.13%,0.16%,414,6,0.14%,0.18%,98.71%,100.00%,33,0,11.11%,0.00%,"$1,559.67",$0.00,30,0
B07C5D48QB,B015L2QT56,Macho Man Star Printed Costume Bandana (Red),machomanbandana-Red,200,1,0.09%,0.04%,278,1,0.10%,0.03%,97.78%,100.00%,30,0,15.00%,0.00%,$388.50,$0.00,30,0
B09KS5M1P8,B09345RR9J,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, x_s, Regular, Michelangelo)",TMNTShirt-Youth-Mike-XS,549,4,0.24%,0.16%,772,4,0.26%,0.12%,97.64%,100.00%,30,0,5.46%,0.00%,$598.50,$0.00,30,0
B09J1H1SWW,B09J1H1SWW,Mad Engine Simpsons Character All Over Backpack One Size Multicolor,99MUL-SimpsonsBackpack,547,4,0.24%,0.16%,771,7,0.26%,0.21%,98.70%,100.00%,30,0,5.48%,0.00%,"$1,468.50",$0.00,30,0
B00XLQUJ06,B00XLQUJ06,TMNT Teenage Mutant Ninja Turtles Multi Character Snack Container,tmntsnack001,918,14,0.40%,0.55%,"1,200",15,0.41%,0.44%,97.92%,93.33%,29,0,3.16%,0.00%,$201.55,$0.00,29,0
B07CKXLQW7,B01JGYNHFK,"COSTUME AGENT Big Lebowski Costume Pajama - Sweater Pajama Pants from The Dude Costume Big Lebowski | Men Pajama for Halloween Costume, Cosplay, Comic Con, Everyday Use &amp; Themed Birthday Party",biglpants001-XL,198,1,0.09%,0.04%,244,1,0.08%,0.03%,100.00%,100.00%,30,0,15.15%,0.00%,"$1,018.50",$0.00,28,0
B07BTW25WY,B0039VWOLA,Costume Agent Big Trouble Little China Fu Manchu White Men's Tank Top (Large),btlc004-L,251,4,0.11%,0.16%,331,4,0.11%,0.12%,97.19%,100.00%,27,1,10.76%,25.00%,$619.42,$22.72,27,1
B003SXGN7K,B003SXGN7K,Community Troy and Abed Mug,communitymug,237,2,0.10%,0.08%,337,3,0.12%,0.09%,93.18%,100.00%,29,0,12.24%,0.00%,$585.55,$0.00,27,0
B07CMXY86F,B0046BEKLE,Superhero Costume Felt Eye Masks Assorted Colors (Purple),tmntmasks-Purple,211,5,0.09%,0.20%,291,8,0.10%,0.24%,97.05%,100.00%,31,0,14.69%,0.00%,$122.45,$0.00,27,0
B07XLVBQM4,B07XLVBQM4,The Queen of Music Studded Belt and Armband Adult Halloween Costume Accessory Cosplay,100980-TheQueenMusicBeltArmband,265,4,0.12%,0.16%,375,13,0.13%,0.38%,83.20%,92.31%,28,2,10.57%,50.00%,$838.00,$59.30,27,2
B09KS5M1P8,B0934F1DB6,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt (as1, Alpha, x_s, Regular, Raphael)",TMNTShirt-Youth-Raphael-XS,542,8,0.24%,0.32%,755,15,0.26%,0.44%,97.69%,100.00%,27,0,4.98%,0.00%,$538.65,$0.00,27,0
